question_id,category,question_text,answer_a_text,answer_a_family,answer_b_text,answer_b_family,answer_c_text,answer_c_family,answer_d_text,answer_d_family,answer_e_text,answer_e_family
Q21,secular,"When you're stressed or overwhelmed, you tend to:","Shut down — zone out, sleep, or disengage",B,"Become critical and rigid — demanding perfection",V,"Over-accumulate — more food, more things, more reassurance",R,"Seek emotional connection compulsively or become dramatic",P,"Become controlling and compulsively busy",K
Q22,secular,"Your most recognizable bad habit is:","Ignoring problems until they become unavoidable",B,"Being too critical or intellectually dismissive of others",V,"Being arrogant or boastful without realizing it",R,"Getting too attached or clingy in relationships",P,"Overcommitting and burning out",K
Q23,secular,"When someone challenges your view, you most often:","Withdraw — it's not worth the energy",B,"Engage sharply and defend your position with logic",V,"Feel your territory is being threatened",R,"Feel personally hurt or misunderstood",P,"Redirect to action — what are we going to do about it?",K
Q24,secular,"Fear of ________ is most likely to drive your behavior:","Change or disruption",B,"Being wrong or misunderstood",V,"Not having enough — scarcity of any kind",R,"Rejection or abandonment",P,"Failure or being surpassed by others",K
Q25,sacred,"In sitting meditation, what arises most often for you?","A heavy dull quality — sleepiness or mental fog",B,"A busy analytical mind — lots of commentary and judgment",V,"Restless desire for comfort — physical or mental",R,"Strong emotions or vivid memories and associations",P,"Restlessness and urgency — the feeling that you should be doing something",K
Q26,sacred,"Your relationship to a consistent meditation schedule is:","It's hard to start but once established you sink into it",B,"You maintain it precisely — you respect the discipline",V,"You practice but comfort sometimes wins out",R,"Your practice ebbs and flows with your emotional state",P,"You tie it to goals — you meditate because it makes you more effective",K
Q27,sacred,"In meditation retreat, what's most challenging for you?","Resisting the pull into dullness or sleep",B,"Letting go of mental analysis and just being",V,"The austerity — giving up comfort and richness",R,"Emotional intensity — feelings amplify on retreat",P,"Stillness — not doing feels deeply uncomfortable",K
Q28,sacred,"What most helps your meditation stabilize?","Very simple instruction — just sit",B,"Clear structure and understanding of the technique",V,"Warm community and physical comfort",R,"Heart connection — compassion practices or devotion",P,"A clear purpose and defined practice goal",K
Q29,sacred,"Your primary way of engaging with Buddhist teachings is:","Absorbing them slowly and letting them permeate over time",B,"Studying texts carefully and understanding the logic precisely",V,"Through the richness of lineage, teacher, and tradition",R,"Through story, poetry, and emotional resonance",P,"By immediately applying teachings practically in your life",K
Q30,sacred,"What most motivates your Dharma study?","A sense of ease and acceptance — just being with what is",B,"Wanting to understand the nature of mind with precision",V,"Gratitude and devotion to the richness of the tradition",R,"The longing for deeper connection and compassion",P,"Wanting to be of greater benefit and service",K
Q31,sacred,"When you encounter a teaching that contradicts your current understanding, you:","Let it sit — you'll integrate it eventually",B,"Investigate it rigorously until you resolve the contradiction",V,"Weigh it against established teachings and tradition",R,"Notice how it makes you feel and let that guide you",P,"Ask: how does this change what I should do?",K
Q32,sacred,"The emotional pattern you most recognize in yourself on the cushion:","Dullness, spacing out, a cottony heaviness",B,"Inner criticism, judgment, or self-righteous mental commentary",V,"Pride or self-importance arising in subtle ways",R,"Strong longing, grasping, intense love or grief",P,"Restlessness or comparison — measuring yourself against others",K
Q33,sacred,"Which poison feels most sticky or familiar to you?","Ignorance and avoidance",B,"Anger and aversion",V,"Pride and arrogance",R,"Attachment and passion",P,"Jealousy and envy",K
Q34,sacred,"In contemplating your own neurosis honestly, your ego primarily protects itself through:","Ignoring threats — a kind of heavy denial",B,"Intellectual self-justification — I'm right about this",V,"Accumulating territory — possessions, status, or recognition",R,"Seeking connection and love but with grasping underneath",P,"Achievement — proving worth through doing",K
Q35,sacred,"Your relationship to your root teacher or primary teacher tends to be:","Respectful but somewhat distant — you process on your own",B,"Intellectually engaged — you ask precise pointed questions",V,"Devotional and warm — you honor the lineage and their role",R,"Heart-centered — the relationship itself is the practice",P,"Goal-oriented — you want to know what to do and how to progress",K
Q36,sacred,"Which style of practice calls to you most naturally?","Shamatha — calm abiding and just resting",B,"Analytical meditation or Mahamudra inquiry",V,"Offerings, mandala practice, and enrichment pujas",R,"Tonglen, devotional practice, or guru yoga",P,"Completion stage practices, service, or engaged Buddhism",K
Q37,sacred,"When you receive pointing-out instruction or direct introduction, your experience is most often:","A sense of vast open space — almost like nothing happened",B,"A sharp moment of clarity — you want to understand it precisely",V,"A feeling of richness and profound okayness",R,"A warm heart-opening — sometimes tears arise",P,"A sudden impulse to act or serve",K
Q38,sacred,"In your dharma community, you most naturally take the role of:","The stable non-reactive presence in the background",B,"The one who upholds standards and clarity of teaching",V,"The host — welcoming newcomers, organizing meals, caring for the space",R,"The connector at the heart of the relational web",P,"The coordinator — organizing events and managing logistics",K
Q39,sacred,"What draws you most to your sangha?","The sense of peaceful belonging without pressure",B,"The quality of the teachings and the teacher's precision",V,"The warmth, abundance, and richness of the community",R,"The emotional depth and genuine connection with others",P,"The sense of collective purpose and service",K
Q40,sacred,"When conflict arises in your dharma community, you:","Hope it resolves itself and stay out of it",B,"Want to address it clearly and find the principled solution",V,"Feel it as a threat to community stability and step in to restore harmony",R,"Feel it deeply and want to repair the relational wound",P,"Want to resolve it efficiently and return to productive work",K
Q41,sacred,"The bodhisattva vow most resonates with you through the lens of:","Vast equal openness to all beings",B,"Clarity — seeing beings' suffering precisely and responding with truth",V,"Generosity — offering resources, richness, and care",R,"Love — deep compassionate connection heart-to-heart",P,"Action — ceaseless tireless service and activity",K
Q42,sacred,"The paramita (perfection) you find most natural:","Patience and equanimity",B,"Prajna — wisdom and discriminating intelligence",V,"Dana — generosity and offering",R,"Metta — loving-kindness and compassion",P,"Virya — joyful effort",K
Q43,sacred,"The paramita you find most challenging:","Virya — sustained effort",B,"Letting go of views — openness to being wrong",V,"Giving without receiving recognition",R,"Equanimity — not clinging to what you love",P,"Patience — slowing down",K
Q44,sacred,"The wisdom quality you most feel awakening in you during practice:","Vast open spaciousness — like the sky (Dharmadhatu Wisdom)",B,"Crystal clarity — seeing things as they truly are (Mirror-Like Wisdom)",V,"A profound sense of equality — everything is equally valuable (Wisdom of Equanimity)",R,"Nuanced heartfelt discernment — knowing what each situation needs (Discriminating Awareness Wisdom)",P,"Effortless spontaneous right action (All-Accomplishing Wisdom)",K
Q45,sacred,"Which description of a moment of wisdom feels most familiar to you?","A moment when you stopped resisting and felt spacious relief",B,"A moment when anger dissolved into crystalline clarity",V,"A moment when pride fell away and you felt genuinely rich without needing more",R,"A moment when clinging dissolved into unconditional love",P,"A moment when you acted perfectly without deliberation",K
Q46,embodiment,"Your natural resting physical state is most often:","At ease and still — your body settles naturally into calm",B,"Alert and upright — you hold yourself with precision and posture",V,"Comfortable and grounded — you arrange yourself for maximum ease",R,"Expressive and fluid — your body moves with your feelings",P,"Ready and restless — you're always slightly poised for action",K
Q47,embodiment,"Your relationship to sleep is:","You love it deeply — sleep is one of life's great pleasures",B,"You treat it practically — enough to function well and no more",V,"You're devoted to it — good sleep means good bedding, darkness, and ritual",R,"Variable — your emotional state determines how well you sleep",P,"You resist it — there's always something else to do first",K
Q48,embodiment,"When you eat, you tend to:","Eat simply and without much attention — food is fuel",B,"Notice quality and pay close attention to what you're consuming",V,"Eat with great pleasure — meals are a rich sensory experience",R,"Eat according to mood — sometimes deeply pleasurable, sometimes forgotten",P,"Eat efficiently — you often work or move while eating",K
Q49,embodiment,"Your relationship to physical touch and affection is:","Neutral — you neither seek it nor avoid it particularly",B,"Selective — you appreciate it in the right context but don't need it",V,"Warm and physical — touch is an important language for you",R,"Deeply important — physical warmth is central to how you give and receive love",P,"Functional — a handshake, a hug, then back to business",K
Q50,embodiment,"When you are in physical discomfort or pain, you:","Endure it stoically — it will pass when it passes",B,"Analyze it and address it systematically",V,"Seek immediate comfort and take it seriously",R,"Feel it intensely and need both physical and emotional support",P,"Push through it — stopping feels like failure",K
Q51,embodiment,"Your natural pace of physical movement tends to be:","Slow and unhurried — you move at your own pace",B,"Deliberate and measured — neither rushed nor dawdling",V,"Comfortable and rolling — you move with a certain ease and weight",R,"Graceful and expressive — your movement has a quality and feeling to it",P,"Fast and purposeful — you move like you have somewhere to be",K
Q52,embodiment,"The physical environment you find most uncomfortable is:","Chaotic, loud, and overstimulating",B,"Cluttered, imprecise, or visually disorganized",V,"Sparse, cold, or lacking in comfort and warmth",R,"Sterile or emotionally flat — spaces with no beauty or life",P,"Slow, static, or confining — places where nothing is happening",K
Q53,embodiment,"Your relationship to your physical appearance is:","Low maintenance — you dress simply and don't think about it much",B,"Clean and considered — you have standards but they are understated",V,"Well-appointed — you take pleasure in dressing richly and well",R,"Expressive and aesthetic — how you look is an extension of how you feel",P,"Functional and efficient — you look good but getting there takes minimal time",K
Q54,embodiment,"When you need to restore your energy, your body most wants:","Stillness — lying down, doing nothing, letting everything stop",B,"Quiet and solitude — space to think without demands",V,"Physical comfort — warmth, good food, softness",R,"Human warmth — being held, touched, or in close company",P,"Movement — a walk, a run, physical activity that burns the restlessness off",K
Q55,embodiment,"Your most reliable physical signal that something is wrong is:","A heaviness or numbness — a kind of going offline",B,"Tension in the jaw, neck, or shoulders — a body bracing for impact",V,"An unsettled stomach or a feeling of physical restlessness",R,"A tightness in the chest or throat — the body holding emotion",P,"An inability to be still — relentless physical urgency",K
Q56,aesthetic,"The visual environment that feels most like home to you is:","Open, minimal, and uncluttered — space itself is the aesthetic",B,"Clean, precise, and well-designed — beauty through restraint",V,"Rich, layered, and warm — texture, color, objects with history",R,"Colorful, personal, and emotionally alive — beauty through expression",P,"Organized and functional — everything in its place and ready to use",K
Q57,aesthetic,"Your favorite kind of music to listen to alone tends to be:","Ambient, drone, or silence — something that doesn't demand attention",B,"Structured and precise — classical, jazz, or carefully composed",V,"Rich and layered — folk, world music, or lush orchestral",R,"Emotionally expressive — songs that move you or feel intimately personal",P,"Driving and energetic — something with momentum and rhythm",K
Q58,aesthetic,"When you walk into a room, you notice first:","The overall feeling — whether the space feels open or heavy",B,"The spatial logic — how things are arranged and whether it makes sense",V,"The richness — colors, textures, objects, warmth",R,"The emotional atmosphere — what feeling the space holds",P,"The activity level — what is happening and who is doing what",K
Q59,aesthetic,"Your taste in clothing tends toward:","Simple and neutral — you wear the same kinds of things reliably",B,"Refined and quality-focused — fewer things, but well-made",V,"Warm and rich — fabrics that feel good, colors that satisfy",R,"Expressive and personal — your clothing reflects your inner world",P,"Practical and streamlined — looks good but gets out of the way",K
Q60,aesthetic,"The kind of beauty that moves you most deeply is:","The beauty of vast open space — sky, ocean, emptiness",B,"The beauty of precision — something perfectly made or exactly right",V,"The beauty of abundance — a feast, a garden, a rich and full scene",R,"The beauty of intimacy — a face, a gesture, a moment between people",P,"The beauty of mastery — something accomplished with skill and economy",K
Q61,aesthetic,"Your ideal book, film, or story tends to be:","Quiet and contemplative — not much happens but everything is felt",B,"Intelligent and precise — ideas matter, and they're handled rigorously",V,"Rich and immersive — layered worlds, complex characters, generous scope",R,"Emotionally resonant — it makes you feel something deep and true",P,"Propulsive and purposeful — things happen and they matter",K
Q62,aesthetic,"The art form you are most naturally drawn to is:","Photography, minimalist painting, or empty architecture",B,"Music theory, architecture, or conceptual art",V,"Sculpture, tapestry, cuisine, or richly illustrated books",R,"Poetry, song, film, or anything that combines image with feeling",P,"Dance, theater, design, or anything where form follows function beautifully",K
Q63,aesthetic,"When you create something — a meal, an email, a space, anything — you care most about:","That it feels spacious and unforced",B,"That it is correct and precisely what it should be",V,"That it is generous and pleasurable to receive",R,"That it carries feeling and speaks from somewhere real",P,"That it works and accomplishes what it set out to do",K
Q64,aesthetic,"The aesthetic failure that bothers you most is:","Clutter and excess — too much of everything",B,"Sloppiness or imprecision — things that are almost right but not quite",V,"Coldness or austerity — beauty drained of warmth and life",R,"Blandness or emotional flatness — things that feel like nothing",P,"Inefficiency or unnecessary decoration — form without function",K
Q65,aesthetic,"When you imagine your ideal home, the quality you care most about is:","Spaciousness — room to breathe and be",B,"Order and quality — everything chosen and placed with intention",V,"Warmth and richness — it feels abundant and alive",R,"Beauty and expressiveness — it reflects who you are",P,"Functionality and flow — everything works and nothing is in the way",K
Q66,time,"Your natural relationship to punctuality is:","Loose — you arrive when you arrive, time is approximate",B,"Precise — you are reliably on time and expect the same from others",V,"Comfortable — you're generally on time but time is meant to be savored",R,"Variable — whether you're on time depends entirely on how you're feeling",P,"Early — you'd rather wait than be waited for",K
Q67,time,"When you have an unstructured free day with no obligations, you:","Settle into it slowly — by afternoon you've found your rhythm",B,"Plan it with intention — free time well spent still has a shape",V,"Fill it with pleasurable things — it becomes a day of richness",R,"Let your mood decide — the day unfolds according to your inner weather",P,"Fill it with projects — unstructured time quickly becomes productive time",K
Q68,time,"Your relationship to the past is:","You carry it lightly — the past doesn't grip you much",B,"You analyze it — the past is data that helps you understand the present",V,"You treasure it — memory, tradition, and history are sources of richness",R,"You feel it — the past is emotionally alive and sometimes very present",P,"You've moved on from it — what matters is what you're building now",K
Q69,time,"Your relationship to the future is:","Unhurried — the future will take care of itself",B,"Mapped — you have a clear sense of where things are heading",V,"Abundant — the future holds richness and you're building toward it",R,"Felt — you sense the future emotionally more than you plan for it",P,"Actionable — the future is made by what you do today",K
Q70,time,"When a plan changes unexpectedly, your first response is:","Mild indifference — you adapt without much trouble",B,"Irritation — you had a clear picture and now it needs to be rebuilt",V,"Disappointment — especially if the change affects something you were enjoying",R,"Emotional reaction — change can feel destabilizing depending on what it touches",P,"Immediate recalculation — you're already building the new plan",K
Q71,time,"When you are kept waiting, you:","Wait without much trouble — you drift into your own interior",B,"Grow increasingly irritated — your time is valuable and this is imprecise",V,"Make yourself comfortable and find something to enjoy in the waiting",R,"Become restless and emotionally affected — it feels like a slight",P,"Start doing something else immediately — waiting is not an option",K
Q72,time,"How do you typically experience the passage of a day?","Time passes slowly or you lose track of it entirely",B,"Time passes in measured segments — you're aware of where you are in the day",V,"Time passes richly — days feel full and textured",R,"Time passes according to mood — good days fly, hard days drag",P,"Time passes quickly — there's never quite enough of it",K
Q73,time,"Your relationship to deadlines and due dates is:","You meet them eventually but the pressure doesn't motivate you much",B,"You meet them precisely — you plan backward from the deadline",V,"You meet them comfortably — you build in time to do things well",R,"You meet them when inspired — deadlines work if the work is meaningful",P,"You beat them — finishing early removes the anxiety",K
Q74,time,"When you think about your mortality and the finite nature of time, you:","Feel a spacious acceptance — it is what it is",B,"Think about it practically — what matters and what doesn't",V,"Feel it as an invitation to richness — to fill the time well",R,"Feel it emotionally and deeply — it opens something tender",P,"Feel galvanized — there's no time to waste",K
Q75,time,"The time of day you feel most yourself is:","Midday or no particular time — you're fairly consistent",B,"Morning — clear, quiet, and precise before the day gets complicated",V,"Evening — when the day is rich and winding down",R,"Whenever connection is happening — time of day matters less than who's there",P,"Early morning or late at night — when you can work without interruption",K
Q76,falling_apart,"When your life is genuinely falling apart, your first response is to:","Go very still and quiet — you withdraw into yourself",B,"Get analytical — you need to understand what happened and why",V,"Seek comfort and ground yourself in reliable pleasures and people",R,"Feel it fully and express it — you need to process it emotionally",P,"Get busy — action is how you survive difficulty",K
Q77,falling_apart,"The emotion you feel most intensely during a crisis is:","A heavy numbness — a kind of going offline",B,"Cold anger — at the situation, at others, or at yourself",V,"A desperate need for more — more comfort, more reassurance, more certainty",R,"Overwhelming grief or fear — the full weight of what is happening",P,"Frantic urgency — the need to fix it immediately",K
Q78,falling_apart,"When a relationship ends badly, you:","Withdraw and process in solitude — you need space before you can speak",B,"Analyze what went wrong with unflinching honesty",V,"Grieve the loss of warmth and comfort deeply",R,"Feel devastated and need significant emotional support from others",P,"Channel the energy into work or a new project",K
Q79,falling_apart,"When you fail at something important to you, you:","Sit with the discomfort quietly — you don't rush to resolve it",B,"Conduct a thorough post-mortem and extract every lesson",V,"Feel your status or sense of security has been shaken",R,"Take it personally and emotionally — failure touches your sense of worth",P,"Immediately look for what to do differently next time",K
Q80,falling_apart,"When you are deeply confused or lost, you:","Drift — you wait for clarity to find you rather than chasing it",B,"Research — you gather information until the picture becomes clear",V,"Seek richness — you surround yourself with beauty and comfort while you wait",R,"Reach out — you need to talk it through with someone who knows you",P,"Act — you make a move and see what happens",K
Q81,falling_apart,"The kind of support you most need when things are hard is:","Quiet, non-intrusive presence — someone nearby but not demanding",B,"Someone to think it through with — clear, honest, and intellectually engaged",V,"Physical comfort and practical help — food, warmth, presence",R,"Emotional attunement — someone who really feels it with you",P,"A plan — someone to help you figure out the next concrete steps",K
Q82,falling_apart,"After a period of difficulty, what helps you most to recover?","Time and stillness — you return to yourself slowly",B,"Understanding — once you've made sense of it, you can move forward",V,"Restoration — comfort, beauty, and the people who make you feel rich",R,"Connection — being loved back to yourself by someone who sees you",P,"Achievement — getting something done reminds you that you are capable",K
Q83,falling_apart,"When the world feels chaotic and uncertain, you:","Detach — you observe from a calm distance",B,"Critique — you identify what is wrong and what should be different",V,"Accumulate — you make sure you have what you need",R,"Connect — you draw closer to the people who matter",P,"Act — you focus on what you can control and do that",K
Q84,falling_apart,"The thing that most destabilizes you when things fall apart is:","Being forced to engage when you need to disappear",B,"Discovering that your understanding of something was wrong",V,"Losing the comfort and security you had built",R,"Feeling cut off from connection or emotionally unseen",P,"Being unable to do anything — helplessness is the worst",K
Q85,falling_apart,"After a crisis has passed, how long does it take you to return to yourself?","A long time — you resurface slowly",B,"Once you understand it, fairly quickly",V,"When comfort is restored and life feels rich again",R,"When connection is restored and you feel loved",P,"As soon as you have something meaningful to do",K
Q86,learning,"When you encounter a completely new subject, your first move is:","Sit with it and let it slowly become familiar",B,"Find the best primary sources and build a systematic understanding",V,"Immerse yourself in the richness of the tradition around it",R,"Find someone who loves it and let their passion be your entry point",P,"Find the practical application — what can you do with this?",K
Q87,learning,"The teacher or mentor you learn best from is:","Gentle and patient — someone who gives you space to find your own way",B,"Rigorous and precise — someone who demands clarity and accuracy",V,"Generous and deep — someone steeped in a rich tradition who shares freely",R,"Warm and relational — someone whose care for you is part of the teaching",P,"Direct and practical — someone who shows you what to do and how to do it",K
Q88,learning,"When you don't understand something, you:","Wait — understanding often comes later when you're not trying",B,"Keep working at it until it clicks — you won't move on until it's clear",V,"Seek more richness around the topic — more context, more examples",R,"Ask someone you trust to explain it in a way that feels personal",P,"Try doing it — understanding through action often works better for you",K
Q89,learning,"The learning environment you thrive in most is:","Quiet and unstructured — you learn best on your own terms",B,"Precise and organized — clear objectives, logical progression",V,"Rich and immersive — surrounded by beautiful materials and deep tradition",R,"Relational and warm — learning in community with people you care about",P,"Active and applied — learning by doing in real-world conditions",K
Q90,learning,"What you find most satisfying about learning something new is:","The quiet expansion — your world gets a little bigger without fanfare",B,"The clarity — understanding something precisely that was murky before",V,"The richness — gaining access to a whole world of depth and tradition",R,"The connection — learning opens new ways of understanding people",P,"The capability — you can now do something you couldn't do before",K
Q91,learning,"When you disagree with what you're being taught, you:","Note it internally and continue — you'll sort it out in your own time",B,"Challenge it directly — you won't accept something that doesn't hold up",V,"Weigh it against accumulated wisdom and established tradition",R,"Feel it as a relational dissonance — it affects your trust in the teacher",P,"Move on and find a better approach — you don't have time to argue",K
Q92,learning,"Your notes and study materials tend to look:","Sparse or nonexistent — you absorb more than you record",B,"Precise and organized — color-coded, logical, exhaustive",V,"Rich and layered — heavily annotated with connections and context",R,"Personal and expressive — filled with your own voice and emotional responses",P,"Functional and minimal — just enough to capture the action items",K
Q93,learning,"The subjects you are most naturally drawn to learning about are:","Philosophy, contemplation, or the nature of mind and existence",B,"Science, mathematics, logic, or systems of precise understanding",V,"History, culture, art, food, or the rich accumulated wisdom of human tradition",R,"Psychology, literature, relationships, or anything that illuminates the inner life",P,"Strategy, business, technology, or anything with practical application",K
Q94,learning,"When you have truly learned something — when it has become part of you — it feels like:","A quiet settling — it has simply become part of how you see",B,"A satisfying click — the piece is in place",V,"A deepening — you feel richer and more substantial",R,"An opening — you can now understand or feel something you couldn't before",P,"A readiness — you can now do something new",K
Q95,learning,"Your biggest obstacle to learning is:","Inertia — starting is the hardest part",B,"Perfectionism — you won't move on until the current thing is fully understood",V,"Indulgence — you get lost in the richness and lose the thread",R,"Distraction by relationship — the people in the learning matter more than the content",P,"Impatience — you want the application before you've done the groundwork",K
Q96,appetite,"The hunger you feel most reliably — the one that never fully goes away — is:","A hunger for peace and an end to striving",B,"A hunger for truth and clarity — to understand things exactly as they are",V,"A hunger for richness — more beauty, more comfort, more abundance",R,"A hunger for connection — to be truly known and loved",P,"A hunger for achievement — to build something that matters",K
Q97,appetite,"When you get what you want, you:","Feel briefly satisfied, then return to your baseline",B,"Assess whether it was what you expected and move to the next question",V,"Savor it deeply — this is what you were made for",R,"Feel a burst of joy followed by a quiet reaching for more connection",P,"Note the completion and immediately orient toward the next goal",K
Q98,appetite,"The thing you most fear not having enough of is:","Space and stillness — the freedom to simply be",B,"Clarity and understanding — the ability to see things as they really are",V,"Comfort and abundance — the resources to live richly",R,"Love and connection — people who truly see and value you",P,"Time and capability — enough of both to accomplish what matters",K
Q99,appetite,"When you want something you cannot have, you:","Wait — desire without fulfillment eventually fades",B,"Find the logical alternative that meets the same need",V,"Grieve the loss and compensate with other forms of richness",R,"Feel it as a relational wound — wanting and not having touches your sense of worth",P,"Find another route — wanting something just means the current approach needs adjusting",K
Q100,appetite,"The desire that has most shaped your life is:","The desire to understand — to see through things to what is real",B,"The desire to be right — to hold positions that are accurate and defensible",V,"The desire to live fully — to fill your life with beauty and richness",R,"The desire to love and be loved — to be in genuine contact with others",P,"The desire to matter — to build something that makes a real difference",K
Q101,appetite,"When you are full — when all your needs are genuinely met — you feel:","Spacious and still — a quiet that needs nothing added",B,"Clear and grounded — your mind is calm and your understanding is sound",V,"Rich and content — an inner warmth and satisfaction",R,"Luminous and open — your heart is available to everything",P,"Ready — satisfied in the present but oriented toward what's next",K
Q102,appetite,"The appetite that most gets you into trouble is:","The appetite for avoidance — you hunger for non-disturbance above all",B,"The appetite for being right — you hunger for correct understanding",V,"The appetite for more — richness can become grasping",R,"The appetite for connection — longing for closeness can become clinging",P,"The appetite for achievement — accomplishment can become compulsion",K
Q103,appetite,"When you encounter genuine beauty — in nature, art, a person, a moment — you:","Receive it quietly — you don't disturb it with reaction",B,"Appreciate it with a kind of precise recognition — you see exactly what makes it what it is",V,"Feel a deep pleasure and want to stay with it, return to it, possess it a little",R,"Feel moved — beauty opens something in you that wants to respond",P,"Feel energized — beauty is fuel",K
Q104,appetite,"Your relationship to pleasure is:","Mild — you enjoy things but you're not particularly driven by pleasure",B,"Selective — you have refined taste but you're not indulgent",V,"Devoted — pleasure is one of the genuine goods of existence",R,"Passionate — pleasure and feeling are deeply intertwined",P,"Instrumental — pleasure is a reward for effort, not a goal in itself",K
Q105,appetite,"The thing that most reliably satisfies you — not just temporarily but genuinely — is:","A period of deep stillness with no agenda",B,"A moment of complete clarity — understanding something fully",V,"A feast — literal or metaphorical — of richness and beauty",R,"A moment of genuine intimacy — being truly seen by someone",P,"Completing something significant — the feeling of a thing fully done",K
