question_id,category,question_text,answer_a_text,answer_a_family,answer_b_text,answer_b_family,answer_c_text,answer_c_family,answer_d_text,answer_d_family,answer_e_text,answer_e_family
Q21,secular,"When you're stressed or overwhelmed, you tend to:","Shut down — zone out, sleep, or disengage",B,"Become critical and rigid — demanding perfection",V,"Over-accumulate — more food, more things, more reassurance",R,"Seek emotional connection compulsively or become dramatic",P,"Become controlling and compulsively busy",K
Q22,secular,"Your most recognizable bad habit is:","Ignoring problems until they become unavoidable",B,"Being too critical or intellectually dismissive of others",V,"Being arrogant or boastful without realizing it",R,"Getting too attached or clingy in relationships",P,"Overcommitting and burning out",K
Q23,secular,"When someone challenges your view, you most often:","Withdraw — it's not worth the energy",B,"Engage sharply and defend your position with logic",V,"Feel your territory is being threatened",R,"Feel personally hurt or misunderstood",P,"Redirect to action — what are we going to do about it?",K
Q24,secular,"Fear of ________ is most likely to drive your behavior:","Change or disruption",B,"Being wrong or misunderstood",V,"Not having enough — scarcity of any kind",R,"Rejection or abandonment",P,"Failure or being surpassed by others",K
Q25,sacred,"In sitting meditation, what arises most often for you?","A heavy dull quality — sleepiness or mental fog",B,"A busy analytical mind — lots of commentary and judgment",V,"Restless desire for comfort — physical or mental",R,"Strong emotions or vivid memories and associations",P,"Restlessness and urgency — the feeling that you should be doing something",K
Q26,sacred,"Your relationship to a consistent meditation schedule is:","It's hard to start but once established you sink into it",B,"You maintain it precisely — you respect the discipline",V,"You practice but comfort sometimes wins out",R,"Your practice ebbs and flows with your emotional state",P,"You tie it to goals — you meditate because it makes you more effective",K
Q27,sacred,"In meditation retreat, what's most challenging for you?","Resisting the pull into dullness or sleep",B,"Letting go of mental analysis and just being",V,"The austerity — giving up comfort and richness",R,"Emotional intensity — feelings amplify on retreat",P,"Stillness — not doing feels deeply uncomfortable",K
Q28,sacred,"What most helps your meditation stabilize?","Very simple instruction — just sit",B,"Clear structure and understanding of the technique",V,"Warm community and physical comfort",R,"Heart connection — compassion practices or devotion",P,"A clear purpose and defined practice goal",K
Q29,sacred,"Your primary way of engaging with Buddhist teachings is:","Absorbing them slowly and letting them permeate over time",B,"Studying texts carefully and understanding the logic precisely",V,"Through the richness of lineage, teacher, and tradition",R,"Through story, poetry, and emotional resonance",P,"By immediately applying teachings practically in your life",K
Q30,sacred,"What most motivates your Dharma study?","A sense of ease and acceptance — just being with what is",B,"Wanting to understand the nature of mind with precision",V,"Gratitude and devotion to the richness of the tradition",R,"The longing for deeper connection and compassion",P,"Wanting to be of greater benefit and service",K
Q31,sacred,"When you encounter a teaching that contradicts your current understanding, you:","Let it sit — you'll integrate it eventually",B,"Investigate it rigorously until you resolve the contradiction",V,"Weigh it against established teachings and tradition",R,"Notice how it makes you feel and let that guide you",P,"Ask: how does this change what I should do?",K
Q32,sacred,"The emotional pattern you most recognize in yourself on the cushion:","Dullness, spacing out, a cottony heaviness",B,"Inner criticism, judgment, or self-righteous mental commentary",V,"Pride or self-importance arising in subtle ways",R,"Strong longing, grasping, intense love or grief",P,"Restlessness or comparison — measuring yourself against others",K
Q33,sacred,"Which poison feels most sticky or familiar to you?","Ignorance and avoidance",B,"Anger and aversion",V,"Pride and arrogance",R,"Attachment and passion",P,"Jealousy and envy",K
Q34,sacred,"In contemplating your own neurosis honestly, your ego primarily protects itself through:","Ignoring threats — a kind of heavy denial",B,"Intellectual self-justification — I'm right about this",V,"Accumulating territory — possessions, status, or recognition",R,"Seeking connection and love but with grasping underneath",P,"Achievement — proving worth through doing",K
Q35,sacred,"Your relationship to your root teacher or primary teacher tends to be:","Respectful but somewhat distant — you process on your own",B,"Intellectually engaged — you ask precise pointed questions",V,"Devotional and warm — you honor the lineage and their role",R,"Heart-centered — the relationship itself is the practice",P,"Goal-oriented — you want to know what to do and how to progress",K
Q36,sacred,"Which style of practice calls to you most naturally?","Shamatha — calm abiding and just resting",B,"Analytical meditation or Mahamudra inquiry",V,"Offerings, mandala practice, and enrichment pujas",R,"Tonglen, devotional practice, or guru yoga",P,"Completion stage practices, service, or engaged Buddhism",K
Q37,sacred,"When you receive pointing-out instruction or direct introduction, your experience is most often:","A sense of vast open space — almost like nothing happened",B,"A sharp moment of clarity — you want to understand it precisely",V,"A feeling of richness and profound okayness",R,"A warm heart-opening — sometimes tears arise",P,"A sudden impulse to act or serve",K
Q38,sacred,"In your dharma community, you most naturally take the role of:","The stable non-reactive presence in the background",B,"The one who upholds standards and clarity of teaching",V,"The host — welcoming newcomers, organizing meals, caring for the space",R,"The connector at the heart of the relational web",P,"The coordinator — organizing events and managing logistics",K
Q39,sacred,"What draws you most to your sangha?","The sense of peaceful belonging without pressure",B,"The quality of the teachings and the teacher's precision",V,"The warmth, abundance, and richness of the community",R,"The emotional depth and genuine connection with others",P,"The sense of collective purpose and service",K
Q40,sacred,"When conflict arises in your dharma community, you:","Hope it resolves itself and stay out of it",B,"Want to address it clearly and find the principled solution",V,"Feel it as a threat to community stability and step in to restore harmony",R,"Feel it deeply and want to repair the relational wound",P,"Want to resolve it efficiently and return to productive work",K
Q41,sacred,"The bodhisattva vow most resonates with you through the lens of:","Vast equal openness to all beings",B,"Clarity — seeing beings' suffering precisely and responding with truth",V,"Generosity — offering resources, richness, and care",R,"Love — deep compassionate connection heart-to-heart",P,"Action — ceaseless tireless service and activity",K
Q42,sacred,"The paramita (perfection) you find most natural:","Patience and equanimity",B,"Prajna — wisdom and discriminating intelligence",V,"Dana — generosity and offering",R,"Metta — loving-kindness and compassion",P,"Virya — joyful effort",K
Q43,sacred,"The paramita you find most challenging:","Virya — sustained effort",B,"Letting go of views — openness to being wrong",V,"Giving without receiving recognition",R,"Equanimity — not clinging to what you love",P,"Patience — slowing down",K
Q44,sacred,"The wisdom quality you most feel awakening in you during practice:","Vast open spaciousness — like the sky (Dharmadhatu Wisdom)",B,"Crystal clarity — seeing things as they truly are (Mirror-Like Wisdom)",V,"A profound sense of equality — everything is equally valuable (Wisdom of Equanimity)",R,"Nuanced heartfelt discernment — knowing what each situation needs (Discriminating Awareness Wisdom)",P,"Effortless spontaneous right action (All-Accomplishing Wisdom)",K
Q45,sacred,"Which description of a moment of wisdom feels most familiar to you?","A moment when you stopped resisting and felt spacious relief",B,"A moment when anger dissolved into crystalline clarity",V,"A moment when pride fell away and you felt genuinely rich without needing more",R,"A moment when clinging dissolved into unconditional love",P,"A moment when you acted perfectly without deliberation",K
